Time(s)	Relative Blade_disp(m)	Tower_disp(m)
525.526	0.297	0.141
526.126	0.283	0.053
526.727	0.255	0.051
527.327	0.321	0.129
527.928	0.405	0.246
528.529	0.374	0.325
529.129	0.443	0.289
529.73	0.333	0.19
530.33	0.306	0.082
530.931	0.393	0.05
531.532	0.385	0.153
532.132	0.426	0.305
532.733	0.378	0.373
533.333	0.47	0.289
533.934	0.346	0.153
534.535	0.267	0.047
535.135	0.288	0.033
535.736	0.345	0.128
536.336	0.408	0.269
536.937	0.488	0.361
537.538	0.389	0.345
538.138	0.401	0.206
538.739	0.33	0.066
539.339	0.293	0.029
539.94	0.37	0.112
540.541	0.33	0.261
541.141	0.385	0.331
541.742	0.41	0.278
542.342	0.32	0.16
542.943	0.299	0.052
543.544	0.213	0.037
544.144	0.269	0.097
544.745	0.347	0.196
545.345	0.394	0.28
545.946	0.357	0.291
546.547	0.316	0.205
547.147	0.33	0.086
547.748	0.275	0.042
548.348	0.38	0.103
548.949	0.354	0.244
549.55	0.253	0.323
550.15	0.429	0.242
550.751	0.24	0.125
551.351	0.194	0.016
551.952	0.474	0.002
552.553	0.447	0.198
553.153	0.312	0.419
553.754	0.379	0.415
554.354	0.295	0.203
554.955	0.327	-0.047
555.556	0.361	-0.098
556.156	0.379	0.115
556.757	0.535	0.411
557.357	0.545	0.577
557.958	0.468	0.469
558.559	0.548	0.163
559.159	0.414	-0.042
559.76	0.421	-0.001
560.36	0.58	0.252
560.961	0.387	0.531
561.562	0.48	0.522
562.162	0.518	0.257
562.763	0.442	0.001
563.363	0.413	-0.04
563.964	0.434	0.157
564.565	0.46	0.416
565.165	0.563	0.521
565.766	0.331	0.396
566.366	0.499	0.09
566.967	0.376	-0.074
567.568	0.288	0.012
568.168	0.476	0.238
568.769	0.35	0.454
569.369	0.415	0.43
569.97	0.351	0.203
570.571	0.189	-0.046
571.171	0.288	-0.148
571.772	0.313	0.021
572.372	0.361	0.322
572.973	0.456	0.501
573.574	0.447	0.431
574.174	0.262	0.17
574.775	0.186	-0.11
575.375	0.148	-0.2
575.976	0.325	-0.02
576.577	0.221	0.318
577.177	0.282	0.477
577.778	0.423	0.338
578.378	0.169	0.07
578.979	0.241	-0.163
579.58	0.194	-0.137
580.18	0.08	0.1
580.781	0.334	0.301
581.381	0.28	0.367
581.982	0.265	0.234
582.583	0.271	0.018
583.183	0.088	-0.093
583.784	0.157	-0.06
584.384	0.145	0.097
584.985	0.244	0.239
585.586	0.326	0.277
586.186	0.197	0.205
586.787	0.283	0.053
587.387	0.167	-0.023
587.988	0.229	0.014
588.589	0.331	0.15
589.189	0.174	0.294
589.79	0.217	0.261
590.39	0.252	0.091
590.991	0.142	-0.048
591.592	0.138	-0.067
592.192	0.149	0.042
592.793	0.285	0.192
593.393	0.185	0.287
593.994	0.298	0.22
594.595	0.365	0.092
595.195	0.228	0.046
595.796	0.206	0.074
596.396	0.212	0.134
596.997	0.287	0.178
597.598	0.114	0.181
598.198	0.228	0.093
598.799	0.133	0.017
599.399	0.105	-0.009
600.0	0.309	0.036
